tweet,label,categories,translated_Zulu
woahh ahha i remember her from charlie and the chocolate factory who do you think killed lucy i think it was abby,0,None,woahh ahha ngimkhumbula ku charlie nasembonini kashokoledi ucabanga ukuthi ubani owabulala uLucy ngicabanga ukuthi u-abby
lakers really trash,0,None,Lakers udoti ngempela
ive also seen a lot of that were democrats and were for charlie baker ad which makes me want to scr,0,None,ngiphinde ngabona okuningi okwakungamademokhrasi futhi kwakungokwesikhangiso sika-charlie baker okungenza ngifune ukuhlehlisa
this is a joke right youre on here like ugh i wish i was a jap and tweeting in gook and shit and jerkin to hentai,1,Race,ihlaya leli elikhona lapha ngathi ugh ngifisa ukuba i-jap futhi ngibhale ku-gook and shit and jerkin to hentai
its ok to trash talkbut i havent seen any bama fans wishing harm or injury towards lsu players,0,None,kulungile ukulahla inkulumo kodwa angikaze ngibone abalandeli be-bama abafisa ukulimala noma ukulimala kubadlali be-lsu
i just caught myself eating chocolate sliced bread beside the ref realizing i still didn't eat my dinner.,0,None,ngizibambe nje ngidla isinkwa esisikiwe sika chocolate eceleni kweref ngibona ukuthi angikakasidli isidlo sami sakusihlwa.
my mother be on some trash man  i ask her everyday you need want some money she say naw im good but come payday,0,None,umama wami abe on some trash man ngimbuza everyday udinga imali athi naw im good but come payday
ill slit your throatneck,0,None,ngizokunquma umphimbo wakho
Foreigners take our jobs,1,Race,Abezinye izizwe bathatha imisebenzi yethu
parodies of jihadi songs  more effective than asinine muslims should condemn  humorisaweapon,0,None,ama-parodies wezingoma zama-jihadi asebenza kangcono kunamaSulumane ase-asinine kufanele agxeke i-humorisaweapon
the beautiful fairy pools near glenbrittle on the isle of skye scotland,0,None,amachibi amahle ezinganekwane eduze ne-glenbrittle esiqhingini sase-skye scotland
go die you asshole,1,Behavior,hamba ufe wena sfebe
lmao girlllaaaa i dont like em chunky anymore,0,None,lmao girlllaaaa angisathandi em chunky
some niggas save hoes,1,Race,amanye ama-niggas agcina amageja
fat dykes make me want to vomit,1,Sexual Orientation,ama-fat dykes angenza ngifune ukuphalaza
ruffled  ntac eileen dahlia  beautiful color combination of pink orange yellow amp white a coll,0,None,i-ruffled ntac eileen dahlia inhlanganisela yombala omuhle ophinki osawolintshi ophuzi amp white a coll
well we sure as heck know how to read im reading the trash right now and almost everything ive heard on the web,0,None,kahle-hle siyaqiniseka ukuthi siyakwazi ukufunda ngifunda udoti njengamanje futhi cishe yonke into engiyizwe kuwebhu
poor henry hes supporting the right  of you guys all on his gut dont hurt it charlie,0,None,bandla u-henry usekela ilungelo lenu nonke emathunjini akhe ningalimazi u-charlie
apparently im pathetic trash alright,0,None,ngokusobala im pathetic doti kulungile
gabbys a bitch and has two accounts,1,Gender,gabbys a bitch futhi unama-akhawunti amabili
i thought she was albino tho,0,None,ngangicabanga ukuthi uyi-albino
rodd when kennies angry he talks like a ghetto black man and i really dont even think he notices hahahahahahaha im laughing,1,Race,u-rodd lapho u-kennies ecasukile ukhuluma njengendoda emnyama yaseghetto futhi angicabangi nokuthi uyaqaphela hahahahahahaha ngiyahleka
charlie crist wins democratic primary,0,None,u-charlie crist uwina ama-primary edemokhrasi
goldwhippp faggots old people people who cant drive drunk people,1,Sexual Orientation,i-goldwhippp idla abantu abadala abantu abangakwazi ukushayela abantu bedakiwe
tajiana only fuck niggas would wanna continue to mess with these messy ass bitches vs somebody who has been down for them all a,1,Gender,u-tajiana kuphela fuck niggas ongafuna ukuqhubeka nokungcolisa lezi zimbongolo ezingcolile vs umuntu obekade ephansi ngabo bonke
lmao soft ass nigga trying to act all tough you a little bitch sit down and watch from the sidelines pussy,1,Gender,I-lmao soft ass nigga izama ukwenza konke okunzima wena nondindwa omncane hlala phansi ubukele eceleni kwe-pussy
sheeple just like oh those racist sexist teabaggerswho just elected these two old white men,1,Race,izimvule like nje oh labo teabaggers ngokobulili anobandlululo abasanda kukhethwa la madoda amabili amadala amhlophe
It's not surprising people in this country are reacting to the free school meals thing. A lot of people voted for the most stupid selfish cunts possible to govern the country and give more benefits to people who don't like to work like single moms and the disabled.,1,Class,Akumangazi ukuthi abantu kuleli zwe besabela entweni yokudla kwamahhala esikoleni. Abantu abaningi bavotela iziphukuphuku zobugovu ezingakwazi ukubusa izwe futhi zinikeze izinzuzo eziningi kubantu abangathandi ukusebenza njengomama abangabodwa nabakhubazekile.
ayyyyy im sipping on a free slurpee and seeing the front bottoms tonight im a happy clam,0,None,ayyyy ngiphuza i-slurpee yamahhala futhi ngibona ama-bottos angaphambili namhlanje kusihlwa ngiyi-clam ejabule
Ban working mums,1,Gender,Vimbela omama abasebenza
jm sorry to hear this rt  im going to chipotle for the first time it better not be trash,0,None,jm sorry to hear this rt im going to chipotle for the first time it better not be trash
an itsy bitsy teeny weeny yellow pockadot bikini polk ashton polk,0,None,i-itsy bitsy teeny weeny yellow pockadot bikini polk ashton polk
nah i hate white people now since he looks like a dyke rt  i think he just ended racism,1,Race,nah ngiyabazonda abelungu manje njengoba esefana ne-dyke rt ngicabanga ukuthi uvele waqeda ukucwasa
in the nothing lasts forever category i can barely recognize any yankees tonight,0,None,esigabeni esithi lutho oluhlala phakade angikwazi ukubona noma yimaphi ama-yankees namuhla kusihlwa
gautreau  hey rachel g my name isint kenneth ok lets just get that straight  you best be backing off before i go ghetto,0,None,gautreau hey rachel g igama lami isint kenneth kulungile ake sikuqonde lokho kungcono uhlehle ngaphambi kokuthi ngiye eghetto
its the best thing ever driving past crowds of people at shows and seeing bandannas coloured hair sos shirts that youve made o,0,None,kuyinto engcono kakhulu eyake yadlula izixuku zabantu emibukisweni nokubona amahembe ezinwele ezinemibala ye-sos owenze o
early bird catches the worm people,0,None,inyoni yakuqala ibamba abantu besikelemu
doug martin trash,0,None,doug martin doti
he looks like reg memphistn trash we got them everywhere,1,Physical Appearance,ubukeka njengodoti we-reg memphistn esiwuthole yonke indawo
i cant even find it in me to mock anymore this is scary this mass ignorance is terrifying rt  yes alas i agree,0,None,angisakwazi nokukthola kimi ukuklolodela lokhu kuyethusa lokhu kungazi kwenqwaba kuyethusa rt yebo maye ngiyavuma
no you ignorant cement headed hillbilly you said taxing cant you fuckin read you fucking knob gobbling douchebag,1,Gender,cha wena ongazi usimende wase hillbilly uthe taxing awkwazi sfebe funda wena ufenda ingquza ubhodla idouchebag
i reblogged them to mock her god bless,0,None,ngiphinde ngababloga ukuze ngigcone unkulunkulu abusise
justice for british seagull spraypainted red by thugs the bird wont be able to fly anymore  h,0,None,ubulungiswa be-british seagull spraypendwe obomvu yizigebengu inyoni ngeke isakwazi ukundiza h
came to training camp today to find charlie batch asleep on the curb,0,None,ufike enkanjini yokuqeqeshwa namuhla ukuthola u-charlie batch elele onqenqemeni
it be so good to not gotta woyke in da moanin i da only colored dat woyke cuz colored folk be lazy and lives off da white guilt,0,None,Kuhle kakhulu ukuthi ngingabi ne-woyke in da moanin ngine-coloured dat woyke cuz abantu bekhaladi babe ngamavila futhi baphilela icala elimhlophe
bihday pressie from my mummy and my granny #michaelkors #luckygirl   #bihday #liverpool,0,None,bihday pressie from my mummy and my granny #michaelkors #luckygirl #bihday #liverpool
feeling blue #illustration,0,None,ukuzizwa uluhlaza #illustration
were gunna shake our honkey tonk badonkadonks  boyden,0,None,were gunna shake our honkey tonk badonkadonks boyden
i cant wait to watch the saints put their weiner right in the cowboys butts  dallas is trash,0,None,angikwazi ukulinda ukubukela abangcwele befaka i-weiner yabo ku-cowboys izinqe i-dallas iwudoti
